id;placed_date;status;code;invoice_id;customer_id
1;2020-11-17T16:27:24;COMPLETED;Georgia calculate withdrawal;88795;1
2;2020-11-17T16:04:09;CANCELLED;background Incredible Soft Bacon withdrawal;68518;2
3;2020-11-17T01:21:17;COMPLETED;real-time;88753;3
4;2020-11-17T09:25:26;COMPLETED;Square Regional;82542;4
5;2020-11-17T15:16:34;PENDING;maroon Decentralized Bike;98183;5
6;2020-11-17T07:40:16;COMPLETED;program;52549;6
7;2020-11-17T21:56:11;COMPLETED;target;30578;7
8;2020-11-17T20:04:17;CANCELLED;input;43284;8
9;2020-11-17T20:30:19;CANCELLED;multi-byte Croatian Kuna RAM;99134;9
10;2020-11-17T21:35:24;COMPLETED;National lavender;4674;10
